type,id,url,twitterUrl,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,displayTextRange,inReplyToUserId,inReplyToUsername,card,quoted_tweet,retweeted_tweet,isLimitedReply,article,author.type,author.userName,author.url,author.twitterUrl,author.id,author.name,author.isVerified,author.isBlueVerified,author.verifiedType,author.profilePicture,author.coverPicture,author.description,author.location,author.followers,author.following,author.status,author.canDm,author.canMediaTag,author.createdAt,author.entities.description.urls,author.fastFollowersCount,author.favouritesCount,author.hasCustomTimelines,author.isTranslator,author.mediaCount,author.statusesCount,author.withheldInCountries,author.possiblySensitive,author.pinnedTweetIds,author.profile_bio.description,author.isAutomated,author.automatedBy,entities.user_mentions,author.profile_bio.entities.url.urls,author.profile_bio.entities.description.user_mentions,place.bounding_box_polygon.coordinates,place.bounding_box_polygon.type,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,extendedEntities.media,author.profile_bio.entities.description.hashtags,quoted_tweet.type,quoted_tweet.id,quoted_tweet.url,quoted_tweet.twitterUrl,quoted_tweet.text,quoted_tweet.source,quoted_tweet.retweetCount,quoted_tweet.replyCount,quoted_tweet.likeCount,quoted_tweet.quoteCount,quoted_tweet.viewCount,quoted_tweet.createdAt,quoted_tweet.lang,quoted_tweet.bookmarkCount,quoted_tweet.isReply,quoted_tweet.inReplyToId,quoted_tweet.conversationId,quoted_tweet.displayTextRange,quoted_tweet.inReplyToUserId,quoted_tweet.inReplyToUsername,quoted_tweet.author.type,quoted_tweet.author.userName,quoted_tweet.author.url,quoted_tweet.author.twitterUrl,quoted_tweet.author.id,quoted_tweet.author.name,quoted_tweet.author.isVerified,quoted_tweet.author.isBlueVerified,quoted_tweet.author.verifiedType,quoted_tweet.author.profilePicture,quoted_tweet.author.coverPicture,quoted_tweet.author.description,quoted_tweet.author.location,quoted_tweet.author.followers,quoted_tweet.author.following,quoted_tweet.author.status,quoted_tweet.author.canDm,quoted_tweet.author.canMediaTag,quoted_tweet.author.createdAt,quoted_tweet.author.entities.description.urls,quoted_tweet.author.fastFollowersCount,quoted_tweet.author.favouritesCount,quoted_tweet.author.hasCustomTimelines,quoted_tweet.author.isTranslator,quoted_tweet.author.mediaCount,quoted_tweet.author.statusesCount,quoted_tweet.author.withheldInCountries,quoted_tweet.author.possiblySensitive,quoted_tweet.author.pinnedTweetIds,quoted_tweet.author.profile_bio.description,quoted_tweet.author.isAutomated,quoted_tweet.author.automatedBy,quoted_tweet.extendedEntities.media,quoted_tweet.card,quoted_tweet.quoted_tweet,quoted_tweet.retweeted_tweet,quoted_tweet.isLimitedReply,quoted_tweet.article,author.profile_bio.entities.description.urls
tweet,1989301113976225816,https://x.com/joaovitorjo_jo/status/1989301113976225816,https://twitter.com/joaovitorjo_jo/status/1989301113976225816,@mariliazando @FellipeDos61363 @Pentadao1 @choquei @grok isso é verdade?,Twitter for iPhone,0,2,0,0,6,Fri Nov 14 11:55:19 +0000 2025,pt,0,True,1989299665225789526,1989058045746593902,"[51, 72]",1625275457871523840,mariliazando,,,,False,,user,joaovitorjo_jo,https://x.com/joaovitorjo_jo,https://twitter.com/joaovitorjo_jo,1657897908656545800,João Vitor,False,False,,https://pbs.twimg.com/profile_images/1657899797351727108/Q3PyDYEO_normal.jpg,,,,75,162,,False,True,Sun May 14 23:57:42 +0000 2023,[],0,163694,True,False,201,14103,[],False,['1657901491724713986'],,False,,"[{'id_str': '1625275457871523840', 'indices': [0, 13], 'name': 'Emerson | Você Me Fez Odiar O Carnaval 🎭', 'screen_name': 'mariliazando'}, {'id_str': '1669184090010968065', 'indices': [14, 30], 'name': 'Luffeu', 'screen_name': 'FellipeDos61363'}, {'id_str': '887859133864476672', 'indices': [31, 41], 'name': 'Pentadao', 'screen_name': 'Pentadao1'}, {'id_str': '953378142198161409', 'indices': [42, 50], 'name': 'CHOQUEI', 'screen_name': 'choquei'}, {'id_str': '1720665183188922368', 'indices': [51, 56], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301091335365063,https://x.com/leonelkinzonzi/status/1989301091335365063,https://twitter.com/leonelkinzonzi/status/1989301091335365063,@MangaArchiveX @grok qual é o nome?,Twitter for iPhone,0,1,0,0,1202,Fri Nov 14 11:55:14 +0000 2025,pt,0,True,1989091179015569704,1989091179015569704,"[15, 35]",1585585955297181696,MangaArchiveX,,,,False,,user,leonelkinzonzi,https://x.com/leonelkinzonzi,https://twitter.com/leonelkinzonzi,1566810632833359874,LEONEL🎲🇦🇴🇧🇷,False,False,,https://pbs.twimg.com/profile_images/1829165440003719168/mVorAaA0_normal.jpg,,,,22,820,,False,True,Mon Sep 05 15:29:14 +0000 2022,[],0,1299,True,False,41,330,[],False,['1982167648801534143'],"Viciado em light novels, mangás e animes! 📚 Sempre na vibe de uma boa comédia romântica💕ou isekai🔮.

Editor de vídeo também mande mensagem na DM.",False,,"[{'id_str': '1585585955297181696', 'indices': [0, 14], 'name': 'Manga Archive', 'screen_name': 'MangaArchiveX'}, {'id_str': '1720665183188922368', 'indices': [15, 20], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301050226950384,https://x.com/sefazesfavor/status/1989301050226950384,https://twitter.com/sefazesfavor/status/1989301050226950384,"@grok @PatriciaaPinto @PatriciaaPinto posso te dar um exemplo, todos os anos a zona ao pé da minha casa inunda

Pq? Por que as casas foram feitas em cima de Planície aluvial, mas vocês coitados não sabem sequer que chuva é normal e inundações também 

Quando chove o rio cresce e inunda as ruas",Twitter for iPhone,0,1,0,0,9,Fri Nov 14 11:55:04 +0000 2025,pt,0,True,1989299761955185081,1989288031514501346,"[22, 294]",1720665183188922368,grok,,,,False,,user,sefazesfavor,https://x.com/sefazesfavor,https://twitter.com/sefazesfavor,1979282929432801281,Faz 🇵🇹,False,False,,https://pbs.twimg.com/profile_images/2007594207108648960/xwDJToLL_normal.jpg,https://pbs.twimg.com/profile_banners/1979282929432801281/1762701290,,Portugal,297,479,,False,True,Fri Oct 17 20:27:01 +0000 2025,[],0,32610,True,False,1292,5434,[],False,['1979656462508195873'],Qual é a solução? Remigração,False,,"[{'id_str': '1720665183188922368', 'indices': [0, 5], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '344436796', 'indices': [6, 21], 'name': 'pat', 'screen_name': 'PatriciaaPinto'}, {'id_str': '344436796', 'indices': [22, 37], 'name': 'pat', 'screen_name': 'PatriciaaPinto'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301046439477593,https://x.com/RafaelS10164810/status/1989301046439477593,https://twitter.com/RafaelS10164810/status/1989301046439477593,@in_coerente @ZanfaVive @grok Kkkkkk tu achou mesmo que o cara tava ganhando uma grana só por causa de dissidio? 😂😂😂😂,Twitter for iPhone,0,0,1,0,31,Fri Nov 14 11:55:03 +0000 2025,pt,0,True,1989018603409088788,1988952966200742108,"[30, 117]",1816525315893788673,incoernt,,,,False,,user,RafaelS10164810,https://x.com/RafaelS10164810,https://twitter.com/RafaelS10164810,1447400315964305410,Leoncala,False,False,,https://pbs.twimg.com/profile_images/1553532777567510530/zDnKWUhx_normal.jpg,https://pbs.twimg.com/profile_banners/1447400315964305410/1704852904,,,46,131,,False,True,Mon Oct 11 03:15:26 +0000 2021,[],0,1111,True,False,22,1659,[],False,[],BITCOIN e nada mais!,False,,"[{'id_str': '3156083868', 'indices': [13, 23], 'name': 'Zanfa 2', 'screen_name': 'ZanfaVive'}, {'id_str': '1720665183188922368', 'indices': [24, 29], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301032497586210,https://x.com/Yagokms/status/1989301032497586210,https://twitter.com/Yagokms/status/1989301032497586210,@Ndayizeyetheon6 @grok que isso?,Twitter for iPhone,0,1,1,0,119,Fri Nov 14 11:55:00 +0000 2025,pt,1,True,1989014236371058850,1989014236371058850,"[17, 32]",1383603157498884104,Ndayizeyetheon6,,,,False,,user,Yagokms,https://x.com/Yagokms,https://twitter.com/Yagokms,1552686028749783042,Yago,False,False,,https://pbs.twimg.com/profile_images/1963547540432818176/Y24U-k-R_normal.jpg,https://pbs.twimg.com/profile_banners/1552686028749783042/1724298555,,"Goiás, Brazil",13,133,,False,True,Thu Jul 28 16:02:59 +0000 2022,[],0,37,True,False,4,159,[],False,[],,False,,"[{'id_str': '1383603157498884104', 'indices': [0, 16], 'name': 'NDAYIZEYE Theoneste', 'screen_name': 'Ndayizeyetheon6'}, {'id_str': '1720665183188922368', 'indices': [17, 22], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301031755288724,https://x.com/andyprincipe/status/1989301031755288724,https://twitter.com/andyprincipe/status/1989301031755288724,"@grok @MimiTweetBr @_Leo__1__ Então quem se refere a Lula como um ""Descondenado"", pois sequer foi absolvido, o adjetiva de forma assertiva?

Existiu algum caso parecido, onde um corruptos condenado com riqueza de provas e delações, foi descondenado na canetada por um tribunal?",Twitter for iPhone,0,1,0,0,6,Fri Nov 14 11:55:00 +0000 2025,pt,0,True,1989300245768052972,1988927547946553363,"[30, 277]",1720665183188922368,grok,,,,False,,user,andyprincipe,https://x.com/andyprincipe,https://twitter.com/andyprincipe,57716424,Príncipe ᶜʳᶠ 🇧🇷,False,False,,https://pbs.twimg.com/profile_images/1222939277023227906/JfyBnAZR_normal.jpg,https://pbs.twimg.com/profile_banners/57716424/1556905755,,,1579,2834,,True,True,Fri Jul 17 18:26:27 +0000 2009,[],0,313800,True,False,307,19198,[],False,['1360452796882030593'],"Empreendedor.
Aquariano. 
Flamenguista. 
Amo musica e cozinhar.
Direita Brasil ✊🏻",False,,"[{'id_str': '1720665183188922368', 'indices': [0, 5], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '1155129640048123906', 'indices': [6, 18], 'name': 'Mimi Br✨', 'screen_name': 'MimiTweetBr'}, {'id_str': '1331294173987737601', 'indices': [19, 29], 'name': 'Leo', 'screen_name': '_Leo__1__'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989301002902659406,https://x.com/marcuspcunha/status/1989301002902659406,https://twitter.com/marcuspcunha/status/1989301002902659406,"@leiatheinvestor 🤣🤣🤣

Comediante 

@grok nas 50 maiores empresas do brasil, há algum diretor sem formação em curso superior? Faça um ranking com as universidades com mais diretores nas 50 maiores empresas e os cursos.",Twitter for iPhone,0,1,0,0,310,Fri Nov 14 11:54:53 +0000 2025,pt,0,True,1989150687008051609,1989150687008051609,"[17, 217]",1093929745669152768,leiatheinvestor,,,,False,,user,marcuspcunha,https://x.com/marcuspcunha,https://twitter.com/marcuspcunha,824335233545801731,Marcus,False,False,,https://pbs.twimg.com/profile_images/824340041438810117/LiqGk49g_normal.jpg,https://pbs.twimg.com/profile_banners/824335233545801731/1485372987,,"Brasília, Brasil",455,3583,,False,True,Wed Jan 25 19:16:49 +0000 2017,[],0,71893,True,False,1563,16080,[],False,[],"Por princípio, só emito opinião daquilo que não entendo. 👻 O mundo já tem muito xarope, não seja mais um. 🤡Muitas vezes bato palma para maluco por diversão.😈",False,,"[{'id_str': '1093929745669152768', 'indices': [0, 16], 'name': 'The Investor', 'screen_name': 'leiatheinvestor'}, {'id_str': '1720665183188922368', 'indices': [35, 40], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989300990407844344,https://x.com/Phil_Lopes_br/status/1989300990407844344,https://twitter.com/Phil_Lopes_br/status/1989300990407844344,"@grok @CatarinaSagaz @Fa1ryNight Agora me diga @grok. Um senador trabalha no senado exclusivamente por seu estado ou sua atuação visa os planos a nível de pais? E se ele precisar aprovar um projeto, dependerá de votos de outros senadores mesmo q estes não conhecem SC?",Twitter for iPhone,0,1,0,0,9,Fri Nov 14 11:54:50 +0000 2025,pt,0,True,1989300358456500447,1989230639640633736,"[33, 268]",1720665183188922368,grok,,,,False,,user,Phil_Lopes_br,https://x.com/Phil_Lopes_br,https://twitter.com/Phil_Lopes_br,1708967699517263872,Patri Όταν,False,False,,https://pbs.twimg.com/profile_images/1710451731790802944/knORkf_N_normal.jpg,,,,222,61,,False,True,Mon Oct 02 22:11:06 +0000 2023,[],0,4925,True,False,409,20912,[],False,[],"Όταν η Πατρίδα σε καλεί - Quando a Pátria chama.
Àqueles que vão à luta, a vida tem um sabor que os abrigados jamais experimentarão.",False,,"[{'id_str': '1720665183188922368', 'indices': [0, 5], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '1987147081006690304', 'indices': [6, 20], 'name': 'Catarina Sagaz', 'screen_name': 'CatarinaSagaz'}, {'id_str': '1094606431968362497', 'indices': [21, 32], 'name': '𝒯𝓈𝓊𝓀𝒾 ☭⃠', 'screen_name': 'Fa1ryNight'}, {'id_str': '1720665183188922368', 'indices': [47, 52], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989300957650280864,https://x.com/jailtonFilho22/status/1989300957650280864,https://twitter.com/jailtonFilho22/status/1989300957650280864,"@grok @pedrorousseff Resumo @grok , Governo Bolsonaro ajudou a roubar para integrantes do PT? 
É totalmente sem sentido essas afirmações.",Twitter for iPhone,0,1,0,0,3,Fri Nov 14 11:54:42 +0000 2025,pt,0,True,1989299777079771630,1989110027626639406,"[21, 137]",1720665183188922368,grok,,,,False,,user,jailtonFilho22,https://x.com/jailtonFilho22,https://twitter.com/jailtonFilho22,1947458570813116422,Jailton jose de matos filho,False,False,,https://pbs.twimg.com/profile_images/1947464085651537922/x0s1VLxc_normal.jpg,https://pbs.twimg.com/profile_banners/1947458570813116422/1753146606,,,5,100,,False,True,Tue Jul 22 00:48:19 +0000 2025,[],0,62,True,False,63,312,[],False,[],,False,,"[{'id_str': '1720665183188922368', 'indices': [0, 5], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '1473123053047529472', 'indices': [6, 20], 'name': 'Pedro Rousseff', 'screen_name': 'pedrorousseff'}, {'id_str': '1720665183188922368', 'indices': [28, 33], 'name': 'Grok', 'screen_name': 'grok'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989300945172169205,https://x.com/leozitotwitadas/status/1989300945172169205,https://twitter.com/leozitotwitadas/status/1989300945172169205,@CapitalistChat @grok @odanielscott Me impressiona vc achar q eu li isso tudo,Twitter for iPhone,0,1,1,0,19,Fri Nov 14 11:54:39 +0000 2025,pt,0,True,1989298257911029828,1989272095818227918,"[36, 77]",1686574768152027136,CapitalistChat,,,,False,,user,leozitotwitadas,https://x.com/leozitotwitadas,https://twitter.com/leozitotwitadas,968870584498184197,"leonardo, o intankavel",False,False,,https://pbs.twimg.com/profile_images/1970178585785737216/cLgx7i97_normal.jpg,https://pbs.twimg.com/profile_banners/968870584498184197/1759326036,,,320,2013,,True,False,Wed Feb 28 15:28:42 +0000 2018,[],0,43184,True,False,100,7294,[],False,[],🇳🇬🇧🇷,False,,"[{'id_str': '1686574768152027136', 'indices': [0, 15], 'name': 'Just tell me', 'screen_name': 'CapitalistChat'}, {'id_str': '1720665183188922368', 'indices': [16, 21], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '748502896031862785', 'indices': [22, 35], 'name': 'Daniel Scott', 'screen_name': 'odanielscott'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989300930051744096,https://x.com/LinaHQ/status/1989300930051744096,https://twitter.com/LinaHQ/status/1989300930051744096,@grok @_RMalta E isso foi culpa do Kassio Nunes?,Twitter for iPhone,0,1,0,0,40,Fri Nov 14 11:54:35 +0000 2025,pt,0,True,1989146183147876706,1988955419885334552,"[15, 48]",1720665183188922368,grok,,,,False,,user,LinaHQ,https://x.com/LinaHQ,https://twitter.com/LinaHQ,87046442,Carolina 🌙,False,True,,https://pbs.twimg.com/profile_images/2008899567626969088/BpFEHrEL_normal.jpg,https://pbs.twimg.com/profile_banners/87046442/1751910855,,Brasil,14214,2217,,True,False,Mon Nov 02 22:31:06 +0000 2009,[],0,70250,True,False,5760,45776,[],False,['2016558935830921715'],"“Graceful? Yes. Beautiful? Absolutely. Harmless? Definitely not.""",False,,"[{'id_str': '1720665183188922368', 'indices': [0, 5], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '1253874970364649474', 'indices': [6, 14], 'name': 'ESSE É O FATO', 'screen_name': '_RMalta'}]","[{'display_url': 'instagram.com/carolalina_/pr…', 'expanded_url': 'https://www.instagram.com/carolalina_/profilecard/?igsh=dHF3dm14bHVvMm1u', 'indices': [0, 23], 'url': 'https://t.co/OUAv02seZq'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweet,1989300922002952399,https://x.com/SheipBruno/status/1989300922002952399,https://twitter.com/SheipBruno/status/1989300922002952399,@ComunaDaThread @mauro_davi6 @grok Ficou nervosa. Converse com @grok.🤣🤣,Twitter for iPhone,0,2,0,0,387,Fri Nov 14 11:54:33 +0000 2025,pt,0,True,1989281274041893181,1989099818128703757,"[35, 71]",1036097642219167744,ComunaDaThread,,,,False,,user,SheipBruno,https://x.com/SheipBruno,https://twitter.com/SheipBruno,1714839737834332160,Bruno Menezes,False,True,,https://pbs.twimg.com/profile_images/1905868720968212481/5djxLhSO_normal.jpg,https://pbs.twimg.com/profile_banners/1714839737834332160/1717759316,,"Maricá, Brasil",83,97,,False,True,Thu Oct 19 03:05:20 +0000 2023,[],0,482,True,False,287,3666,[],False,['2017411524176875884'],"Apaixonado por palavras: editor • escritor  • comentarista
Conteúdos envolventes 📚✍️🎙️
📸 Insta: @bruno_menezes.oficial
🎥 TikTok: @bruno_menezes.oficial",False,,"[{'id_str': '1036097642219167744', 'indices': [0, 15], 'name': 'Comunista das Threads', 'screen_name': 'ComunaDaThread'}, {'id_str': '743937003826388992', 'indices': [16, 28], 'name': '🅞🅡🅤🅐🅜 22 🃏', 'screen_name': 'mauro_davi6'}, {'id_str': '1720665183188922368', 'indices': [29, 34], 'name': 'Grok', 'screen_name': 'grok'}, {'id_str': '1720665183188922368', 'indices': [63, 68], 'name': 'Grok', 'screen_name': 'grok'}]",,"[{'id_str': '0', 'indices': [96, 110], 'name': '', 'screen_name': 'bruno_menezes'}, {'id_str': '0', 'indices': [129, 143], 'name': '', 'screen_name': 'bruno_menezes'}]","[[[-43.022429, -23.024591], [-43.022429, -22.841235], [-42.636396, -22.841235], [-42.636396, -23.024591], [-43.022429, -23.024591]]]",Polygon,Brazil,BR,"Maricá, Brasil",5a4ba2b4cd9a0b2c,Maricá,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
